lake,content,fluor,assay,cq,target,r_squared,intercept,slope,efficiency,gu_well,sample,type,area_vol,gu_conc,lod
william,unkn,fam,16s rrna,22.2292099996155,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,18385.536447121045,initial,volume,100,91927.68223560523,45
william,unkn,fam,16s rrna,29.2810061885299,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,157.8415356589648,control,volume,100,789.207678294824,45
chocolate,unkn,fam,16s rrna,21.7079641657374,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,26134.076288623135,control,volume,100,130670.38144311568,45
william,unkn,fam,16s rrna,22.3002192212041,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,17525.475555800174,acrylic_copolymer,area,4.908738521234052,1785130.2814347388,916.7324722093172
chocolate,unkn,fam,16s rrna,27.6788115829963,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,465.2455240525232,acrylic_copolymer,area,4.908738521234052,47389.519938776546,916.7324722093172
william,unkn,fam,16s rrna,29.4070710035276,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,144.97158908994817,cellulose_nitrate,area,4.908738521234052,14766.684807393494,916.7324722093172
chocolate,unkn,fam,16s rrna,24.4945218843539,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,3987.6279764704354,cellulose_nitrate,area,4.908738521234052,406176.45034675323,916.7324722093172
william,unkn,fam,16s rrna,34.173776472418,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,5.815472176734196,nylon,area,4.908738521234052,592.3591317380043,916.7324722093172
chocolate,unkn,fam,16s rrna,31.8852505254895,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,27.23633288041036,nylon,area,4.908738521234052,2774.2700861527223,916.7324722093172
william,unkn,fam,16s rrna,26.9304562196497,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,770.8301259673358,gauze,area,4.908738521234052,78516.1118923839,916.7324722093172
chocolate,unkn,fam,16s rrna,25.2806736399863,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,2346.191156064357,gauze,area,4.908738521234052,238981.06875272378,916.7324722093172
grand,unkn,fam,16s rrna,24.1313331351916,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,5094.8686540627,initial,volume,100,25474.343270313504,45
chocolate,unkn,fam,16s rrna,24.0325866213153,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,5445.86439931448,initial,volume,100,27229.3219965724,45
lumsden,unkn,fam,16s rrna,21.0346358408002,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,41162.32247209591,initial,volume,100,205811.61236047957,45
chocolate,unkn,fam,16s rrna,23.6580808765091,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,7011.342577539233,initial,volume,100,35056.712887696165,45
grand,unkn,fam,16s rrna,24.1509910108086,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,5027.742366995257,cellulose_nitrate,area,4.908738521234052,512121.63219189836,916.7324722093172
lumsden,unkn,fam,16s rrna,20.5457988933179,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,57244.60375935552,control,volume,100,286223.0187967776,45
grand,unkn,fam,16s rrna,30.9020826364898,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,52.87225103358845,nylon,area,4.908738521234052,5385.523266810352,916.7324722093172
lumsden,unkn,fam,16s rrna,27.6577932457973,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,471.89004014528035,acrylic_copolymer,area,4.908738521234052,48066.32479037075,916.7324722093172
grand,unkn,fam,16s rrna,27.3392027952832,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,585.0478258769729,gauze,area,4.908738521234052,59592.48219743149,916.7324722093172
lumsden,unkn,fam,16s rrna,27.3119876498476,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,595.889470239403,cellulose_nitrate,area,4.908738521234052,60696.803024007575,916.7324722093172
lumsden,unkn,fam,16s rrna,31.5029161558316,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,35.251440789667896,nylon,area,4.908738521234052,3590.6822737836237,916.7324722093172
lumsden,unkn,fam,16s rrna,24.1460188408554,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,5044.636950532727,gauze,area,4.908738521234052,513842.5003400375,916.7324722093172
grand,unkn,fam,16s rrna,24.4951185171377,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,3986.0231273939944,control,volume,100,19930.11563696997,45
grand,unkn,fam,16s rrna,26.0568287809458,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,1389.764686561997,acrylic_copolymer,area,4.908738521234052,141560.26854457625,916.7324722093172
william,unkn,fam,16s rrna,20.7606008817691,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,49521.657587421985,initial,volume,100,247608.2879371099,45
william,unkn,fam,16s rrna,20.507448925434,total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965,58745.08307524915,initial,volume,100,293725.41537624574,45
